,Id,data_nocode,ContextTag,data_phraseList
467,1111385,"['new', 'mvc', 'warned', 'user', 'model', 'return', 'mysql', 'result', 'resource', 'controller', 'controller', 'passes', 'mysql', 'resource', 'view', 'display', 'acceptable', 'print', 'query', 'results', 'view', 'database', 'result', 'fetching', 'function', 'doesnt', 'look', 'right', 'tightly', 'coupled', 'right', 'model', 'return', 'type', 'database', 'resource', 'view', 'loop', 'type', 'database', 'fetching', 'method', 'decoupled', 'looping', 'results', 'twice', 'thinking', 'loop', 'results', 'model', 'create', 'array', 'results', 'view', 'summary', 'view', 'display', 'database', 'result', 'resource', 'adhering', 'mvc', 'design', 'pattern', 'avoid', 'looping', 'data', 'twice', 'avoiding', 'tight', 'coupling', 'database']",yes,"['database result resource', 'mysql result resource', 'database result', 'query result']"
468,33125508,"['understand', 'scenario', 'pick', 'service', 'registry', 'load', 'balancer', 'understanding', 'solutions', 'covering', 'functionality', 'instance', 'consider', 'consulio', 'feature', 'list', 'service', 'discovery', 'health', 'checking', 'keyvalue', 'store', 'multi', 'datacenter', 'load', 'balancer', 'amazon', 'elb', 'instance', 'configurable', 'accept', 'traffic', 'load', 'balancer', 'accept', 'traffic', 'protocols', 'http', 'https', 'secure', 'http', 'tcp', 'ssl', 'secure', 'tcp', 'distribute', 'requests', 'ec2', 'instances', 'multiple', 'availability', 'zones', 'number', 'connections', 'scales', 'number', 'concurrent', 'requests', 'load', 'balancer', 'receives', 'configure', 'health', 'checks', 'elastic', 'load', 'balancing', 'uses', 'monitor', 'health', 'ec2', 'instances', 'registered', 'load', 'balancer', 'send', 'requests', 'healthy', 'instances', 'use', 'endtoend', 'traffic', 'encryption', 'networks', 'use', 'secure', 'httpsssl', 'connections', 'ec2vpc', 'create', 'internetfacing', 'load', 'balancer', 'takes', 'requests', 'clients', 'internet', 'routes', 'ec2', 'instances', 'internalfacing', 'load', 'balancer', 'takes', 'requests', 'clients', 'vpc', 'routes', 'ec2', 'instances', 'private', 'subnets', 'load', 'balancers', 'ec2classic', 'internetfacing', 'ec2classic', 'load', 'balancers', 'ec2classic', 'support', 'ipv4', 'ipv6', 'addresses', 'load', 'balancers', 'vpc', 'support', 'ipv6', 'addresses', 'monitor', 'load', 'balancer', 'cloudwatch', 'metrics', 'access', 'logs', 'aws', 'cloudtrail', 'associate', 'internetfacing', 'load', 'balancer', 'domain', 'etc', 'scenario', 'failing', 'understand', 'pick', 'consulio', 'netflix', 'eureka', 'amazon', 'elb', 'service', 'discovery', 'hunch', 'implementing', 'client', 'service', 'discovery', 'vs', 'server', 'service', 'discovery', 'sure']",yes,"['ssl secure tcp distribute request', 'balancer', 'instance ha configurable', 'healthy instance']"
469,27007353,"['read', 'article', 'microservices', 'paas', 'architecture', 'article', 'way', 'author', 'states', 'denormalize', 'crazy', 'refactor', 'database', 'schemas', 'denormalize', 'allow', 'complete', 'separation', 'partitioning', 'data', 'use', 'underlying', 'tables', 'serve', 'multiple', 'microservices', 'sharing', 'underlying', 'tables', 'span', 'multiple', 'microservices', 'sharing', 'data', 'instead', 'services', 'access', 'data', 'shared', 'service', 'api', 'published', 'rest', 'message', 'service', 'interface', 'sounds', 'great', 'theory', 'practicality', 'hurdles', 'overcome', 'biggest', 'databases', 'tightly', 'coupled', 'table', 'foreign', 'key', 'relationship', 'table', 'impossible', 'partition', 'database', 'n', 'subdatabases', 'controlled', 'n', 'microservices', 'ask', 'given', 'database', 'consists', 'entirely', 'related', 'tables', 'denormalize', 'smaller', 'fragments', 'groups', 'tables', 'fragments', 'controlled', 'separate', 'microservices', 'instance', 'given', 'small', 'exemplar', 'database', 'dont', 'spend', 'time', 'critiquing', 'design', 'fly', 'point', 'makes', 'logical', 'sense', 'split', 'database', '3', 'microservices', 'userservice', 'crudding', 'users', 'system', 'ultimately', 'manage', 'users', 'table', 'productservice', 'crudding', 'products', 'system', 'ultimately', 'manage', 'products', 'table', 'orderservice', 'crudding', 'orders', 'system', 'ultimately', 'manage', 'orders', 'products', 'x', 'orders', 'tables', 'tables', 'foreign', 'key', 'relationships', 'denormalize', 'treat', 'monoliths', 'lose', 'semantic', 'meaning', 'theres', 'way', 'ordered', 'quantity', 'article', 'typical', 'academic', 'hullabaloo', 'real', 'world', 'practicality', 'denormalization', 'approach', 'look', 'bonus', 'points', 'example', 'answer']",yes,"['product table', 'table ha', 'crazy refactor database schema', 'underlying table']"
476,12476773,"['build', 'secure', 'aspnet', 'web', 'api', 'find', 'lot', 'ways', 'secure', 'api', 'best', 'way', 'industry', 'standard', 'implement', 'case', 'requirements', 'api', 'small', 'number', 'thirdparty', 'developers', 'websitesmobile', 'apps', 'etc', 'developers', 'use', 'api', 'given', 'key', 'access', 'api', 'authorization', 'users', 'visitorsconsumers', 'login', 'thirdparty', 'apps', 'personalized', 'information', 'api', 'use', 'asp', 'membership', 'database', 'managingauthenticating', 'users', 'use', 'http', 'basic', 'authentication', 'authenticating', 'users', 'implement', 'authorization', 'api', 'oauth', '20', 'solution']",yes,"['authorization user visitor consumer', 'third party developer', 'third party apps', 'asp net web']"
486,2001773,"['way', 'wrap', 'apis', 'default', 'functions', 'phpbased', 'web', 'applications', 'databases', 'cmss', 'looked', 'found', 'skeleton', 'frameworks', 'addition', 'answers', 'tonic', 'rest', 'framework', 'lightweight', 'rest', 'best', 'simplicity', 'create', 'api', 'architecture', 'based', 'head', 'basic', 'principles', 'fully', 'understood', 'number', 'questions', '1', 'understanding', 'right', 'resource', 'users', 'set', 'number', 'uris', 'correct', 'representation', 'restful', 'architecture', 'far', '2', 'verbs', 'create', 'update', 'delete', 'theory', 'practice', 'lot', 'verbs', 'realize', 'things', 'embedded', 'update', 'request', 'specific', 'actions', 'specific', 'return', 'codes', 'wouldnt', 'throw', 'action', 'come', 'mind', 'user', 'example', 'express', 'actions', 'restful', 'url', 'architecture', 'instinct', 'url', 'expect', 'status', 'code', 'deviates', 'idea', 'http', 'verbs', 'think', '3', 'return', 'error', 'messages', 'codes', 'great', 'rests', 'beauty', 'stems', 'use', 'standard', 'http', 'methods', 'error', 'emit', 'header', '3xx4xx', '5xx', 'error', 'status', 'code', 'detailed', 'error', 'description', 'use', 'body', 'right', 'far', 'good', 'way', 'transmit', 'proprietary', 'error', 'code', 'detailed', 'describing', 'went', 'wrong', 'eg', 'failed', 'connect', 'database', 'database', 'login', 'wrong', 'body', 'message', 'parse', 'standard', 'header', 'kind', 'thing', '4', 'authentication', 'api', 'key', 'based', 'authentication', 'rest', 'principles', 'look', 'strong', 'points', 'sessions', 'authenticating', 'rest', 'client', 'blatant', 'violation', 'rest', 'principle', 'half', 'kidding', 'session', 'based', 'authentication', 'play', 'existing', 'infrastructure']",yes,"['rest verb error code', 'error status code', 'proprietary error code', 'rest principle']"
488,49226256,"['typed', 'c', 'clientserver', 'lesson', 'video', 'tutorial', 'c', 'socket', 'programming', 'multiple', 'clients', 'complied', 'program', 'visual', 'studio', '2017', 'program', 'complied', 'error', 'works', 'single', 'computer', 'run', 'client', 'server', 'computer', 'connect', 'fine', 'appears', 'try', 'client', 'server', 'different', 'computers', 'home', 'network', 'wont', 'connect', 'asked', 'security', 'firewall', 'allow', 'access', 'understanding', 'wont', 'work', 'placed', 'different', 'computers', 'home', 'network', 'connected', 'wifi', 'computers', 'share', 'files', 'problems', 'video', 'lesson', 'youtube', 'link', 'files', 'typed', 'copy', 'pasted', 'visual', 'studio', 'compiled', 'precisely', 'result', 'compile', 'run', 'fine', 'single', 'machine', 'connect', 'different', 'machines', 'ideas', 'use', 'computer', 'connect', 'wrong', 'heres', 'link', 'hardcopy', 'client', 'code', 'multi', 'client', 'heres', 'link', 'hardcopy', 'server', 'code', 'multi', 'server', 'short', 'program', 'dont', 'wrong', 'add', 'actually', 'recognize', 'computer', 'code', 'client', 'code', 'server', 'note', 'think', 'code', 'probably', 'fine', 'problem', 'likely', 'problem', 'permissions', 'firewall', 'settings', 'maybe', 'specify', 'ip', 'addresses', 'obviously', 'program', 'doesnt', 'report', 'errors', 'wont', 'connect', 'laptops', 'connected', 'wifi', 'network', 'works', 'fine', 'client', 'server', 'run', 'computer', 'thats', 'pretty', 'useless']",yes,"['hard copy client code multi client', 'hard copy server code multi server', 'client server lesson', 'client server socket']"
493,32460141,"['interact', 'azure', 'mobile', 'api', 'login', 'authentication', 'token', 'sent', 'request', 'adding', 'azure', 'mobile', 'services', 'mvc', 'causes', 'html', 'helpers', 'stop', 'add', 'header', 'ajax', 'request', 'azure', 'mobile', 'api', 'request', 'pass', 'server', 'response', 'controller', 'accessing', 'database', 'api', 'option', 'client', 'xamarin', 'application', 'uses']",yes,"['azure mobile api request', 'azure mobile api', 'azure mobile service', 'ajax request']"
498,7858583,"['create', 'wcf', 'services', 'intranet', 'wcf', 'services', 'independent', 'eachother', 'sense', 'functionality', 'eg', 'validator', 'service', 'deals', 'validating', 'accounts', 'account', 'holders', 'ie', 'account', 'exists', 'card', 'holder', 'exists', 'etc', 'account', 'service', 'deals', 'depositing', 'balance', 'account', 'depositing', 'balance', 'limit', 'service', 'deals', 'checking', 'user', 'wants', 'accounts', 'limit', 'use', 'case', 'user', 'wants', 'deposit', 'money', 'ui', 'starts', 'calling', 'account', 'service', 'account', 'service', 'calls', 'validator', 'service', 'check', 'account', 'exists', 'validator', 'service', 'returns', 'boolean', 'indicate', 'account', 'exists', 'validator', 'service', 'returns', 'true', 'account', 'service', 'deposits', 'money', 'user', 'wants', 'money', 'ui', 'starts', 'calling', 'account', 'service', 'account', 'service', 'calls', 'validator', 'service', 'account', 'exists', 'validator', 'service', 'returns', 'true', 'account', 'service', 'calls', 'limit', 'service', 'check', 'user', 'balance', 'limit', 'service', 'returns', 'true', 'accounts', 'service', 'calls', 'appropriate', 'method', 'reduces', 'balance', 'gives', 'balance', 'user', 'planning', 'host', 'windows', 'services', 'ui', 'services', 'deployed', 'machine', 'thoughts', 'book', 'recommend', 'recommend', 'soa', 'architecture', 'services', 'communicate', 'eachother', 'concerned', 'scalability', 'security', 'performance', 'thanks']",yes,"['service call validator service', 'balance limit service deal', 'validator service return true', 'limit service return true']"
501,48894441,"['post', 'felt', 'normally', 'questions', 'answered', 'reading', 'posts', 'time', 'think', 'deep', 'find', 'proper', 'answer', 'multiple', 'issues', 'going', 'code', 'novice', 'ror', 'couple', 'months', 'attempting', 'run', 'test', 'query', 'sure', 'associations', 'properly', 'based', 'errors', 'getting', 'feel', 'messed', 'simple', 'setting', 'couple', 'tables', 'webapp', 'ill', 'focus', '2', 'tables', 'fix', 'applied', 'pertinent', 'information', 'devise', 'user', 'authentication', 'pto', 'requests', 'controllerrb', 'registrations', 'controllerrb', 'registrations', 'devise', 'user', 'controller', 'database', 'table', 'names', 'users', 'pto', 'requests', 'pto', 'request', 'model', 'filename', 'pto', 'requestrb', 'user', 'model', 'filename', 'userrb', 'create', 'associations', 'database', 'migration', 'foreign', 'key', 'created', 'pto', 'requests', 'table', 'called', 'users', 'id', 'query', 'tables', 'individually', 'issues', 'try', 'access', 'data', 'example', 'userfname', 'pto', 'requests', 'errors', 'example', 'query', 'receive', 'error', 'mysql2error', 'unknown', 'column', 'userfname', 'field', 'list', 'select', 'userfname', 'user', 'pto', 'requests', 'inner', 'join', 'users', 'usersid', 'pto', 'requestsuser', 'id', 'order', 'pto', 'requestsid', 'asc', 'limit', '1', 'current', 'theory', 'issue', 'end', 'generated', 'sql', 'syntax', 'user', 'id', 'exist', 'users', 'id', 'help', 'greatly', 'appreciated', 'information', 'required', 'let']",yes,"['pto request table', 'pto request model filename', 'pto request rb', 'pto request']"
507,1408444,"['lets', 'example', 'got', 'simple', 'ecommerce', 'system', 'separate', 'systems', 'inventory', 'management', 'system', 'ims', 'order', 'management', 'system', 'oms', 'assume', 'ims', 'provides', 'information', 'inventory', 'getitem', 'getitemquantities', 'etc', 'oms', 'provides', 'ordering', 'services', 'startorder', 'additemtoorder', 'finalizeorder', 'etc', 'systems', 'implemented', 'web', 'services', 'different', 'backends', 'oms', 'assume', 'simplistic', 'model', 'ims', 'assume', 'model', 'easily', 'figure', 'simple', 'db', 'table', 'structure', 'implement', 'use', 'case', 'consider', 'client', 'adding', 'item', 'order', 'request', 'requires', 'oms', 'servicedatabase', 'calls', 'validation', 'orderid', 'optional', 'pass', 'responsibility', 'database', 'ims', 'validate', 'passedin', 'itemid', 'exists', 'required', 'diff', 'db', 'ims', 'validate', 'inventory', 'passedin', 'quantity', 'requred', 'diff', 'db', 'insertion', 'new', 'record', 'table', 'required', 'sense', 'performance', 'perspective', 'think', 'better', 'way', 'edit', 'followup', 'case', 'user', 'asks', 'oms', 'order', 'details', 'return', 'orderid', 'list', 'orderlineitems', 'containing', 'itemid', 'quantity', 'subtotal', 'client', 'actually', 'wants', 'items', 'description', 'resposibility', 'retreiving', 'namedescription', 'client', 'ims', 'oms', 'responsible']",yes,"['order management system', 'inventory management system', 'simple db table structure', 'web service dependency question']"
513,55988676,"['reasons', 'understand', 'chosen', 'use', 'orm', 'framework', 'gone', 'generalized', 'adonet', 'data', 'access', 'layer', 'initially', 'created', 'single', 'database', 'class', 'controllers', 'access', 'predicted', 'access', 'object', 'monstrosity', 'attempt', 'refactor', 'data', 'layer', 'created', 'database', 'adapter', 'class', 'di', 'injected', 'service', 'created', 'service', 'layer', 'utilize', 'controller', 'domain', 'service', 'use', 'database', 'adapter', 'query', 'database', 'return', 'generic', 'data', 'table', 'service', 'populate', 'result', 'queries', 'return', 'domain', 'objects', 'controller', 'assemble', 'view', 'models', 'running', 'issue', 'abstract', 'code', 'designed', 'map', 'datasets', 'returned', 'database', 'access', 'layer', 'query', 'select', 'different', 'fields', 'example', 'simple', 'reference', 'data', 'service', 'example', 'exception', 'thrown', 'populate', 'method', 'selecting', 'code', 'label', 'particular', 'method', 'id', 'avoid', 'custom', 'mapping', 'method', 'needlessly', 'return', 'data', 'table', 'row', 'controller', 'id', 'populate', 'method', 'generic', 'query', 'table', 'mapped', 'appropriately', 'realize', 'basically', 'rolling', 'orm', 'id', 'use', 'service', 'pattern', 'point', 'way', 'invested']",yes,"['ado net data access layer', 'simple reference data service', 'database access layer', 'generic data table']"
517,18765932,"['upload', 'file', 'jquery', 'ajax', 'rest', 'application', 'rest', 'application', 'token', 'based', 'authentication', 'successful', 'login', 'create', 'token', 'database', 'table', 'token', 'passed', 'request', 'login', 'filter', 'checking', 'request', 'login', 'token', 'request', 'contains', 'token', 'validated', 'database', 'entry', 'rest', 'url', 'jquery', 'ajax', 'add', 'auth', 'key', 'inside', 'header', 'code', 'inside', 'filter', 'failing', 'let', 'add', 'datakey', 'inside', 'header', 'searched', 'blogs', 'filter', 'kicking', 'request', 'time']",yes,"['jquery ajax', 'successful login', 'request', 'database entry']"
525,15133494,"['clients', 'constantly', 'post', 'data', 'rest', 'service', 'rest', 'service', 'network', 'load', 'balancer', 'client', 'sends', '100', '500', 'mb', 'day', 'support', '500', 'clients', 'post', 'large', 'packets', 'reduce', 'overhead', 'tcpip', 'session', 'set', 'http', 'headers', 'firmly', 'tie', 'client', 'particular', 'server', 'limit', 'scalability', 'options', 'alternatively', 'send', 'small', 'http', 'packets', 'load', 'balance', 'overhead', 'tcpip', 'session', 'set', 'http', 'headers', 'recommended', 'packet', 'size', 'http', 'post', 'calculate', 'environment']",yes,"['rest service rest service', 'recommended packet size', 'tcp ip session', 'large packet']"
526,845086,"['clientserver', 'application', 'depends', 'ms', 'sql', 'database', 'backend', 'storage', 'server', 'application', 'wcf', 'tcp', 'service', 'handles', 'clients', 'requests', 'selecting', 'database', 'set', 'information', 'service', 'configured', 'persession', 'support', '500', 'sessions', 'client', 'user', 'open', 'different', 'views', 'view', 'object', 'service', 'proxy', 'object', 'view', 'session', 'view', 'threading', 'timer', 'requests', 'data', 'server', 'proxy', 'object', 'second', 'application', 'running', 'good', 'small', 'number', 'users', '8', 'views', 'increase', 'number', 'time', 'exception', 'occured', 'sqlconnectionopen', 'avilable', 'connection', 'connection', 'pool', 'sessionobject', 'view', 'wcf', 'service', 'thread', 'safe', 'depends', 'single', 'threaded', 'database', 'access', 'layer', 'uses', 'sqldatareaders', 'sqladapters', 'way', 'increase', 'number', 'database', 'connections', '800', 'maximum', 'point', 'view', 'increase', 'number', 'users', 'shall', 'change', 'db', 'layer', 'multithreaded', 'wcf', 'service', 'single', 'think', 'bottleneck', 'design', 'recommend', 'article', 'multithreading', 'adonet', 'ps', 'replace', 'database', 'memory', 'database', 'faster', 'storage', 'according', 'answers', 'changed', 'backend', 'service', 'close', 'connection', 'method', 'facing', 'problem', 'number', 'users', 'increases', 'latency', 'increases', 'second', 'mean', 'change', 'database', 'solution', 'alternative', 'solution', 'solutions', 'open', 'close', 'sql', 'connection', 'method', 'increase', 'size', 'connection', 'pool', 'connection', 'string', 'gives', 'latency', 'increase', 'number', 'users', 'time', 'monitor', 'queries', 'sql', 'porfiler', 'query', '20', 'milliseconds']",yes,"['single threaded database access layer', 'database connection', 'wcf service single', 'wcf tcp service']"
527,39402018,"['mobile', 'application', 'uses', 'stormpath', 'server', 'authentication', 'authorization', 'support', 'user', 'signing', 'device', 'able', 'track', 'limit', 'application', 'uses', 'stormpath', 'sign', 'user', 'emailpassword', 'mdnpassword', 'successful', 'login', 'returns', 'jwt', 'token', 'use', 'api', 'access', 'server', 'thinking', 'approach', 'list', 'sessions', 'users', 'account', 'time', 'user', 'signs', 'new', 'entry', 'added', 'device', 'id', 'jwt', 'provided', 'user', 'signs', 'entry', 'removed', 'marked', 'inactive', 'user', 'tries', 'sign', 'device', 'restrict', 'active', 'device', 'set', 'entry', 'disabled', 'expire', 'jwt', 'application', 'detect', 'require', 'login', 'wanted', 'restrict', 'user', 'maximum', 'n', 'sessions', 'count', 'entries', 'force', 'user', 'sign', 'sessions', 'allowing', 'herhim', 'sign', 'new', 'device', 'good', 'approach', 'better', 'way', 'issues', 'method']",yes,"['user signing', 'active device', 'successful login return', 'good approach']"
528,48721348,"['interceptors', 'angular5', 'add', 'authorization', 'header', 'request', 'tokens', 'coming', 'backend', 'expire', 'case', 'token', 'refresh', 'occur', 'multiple', 'httprequest', 'come', 'time', 'way', 'making', 'queue', 'multiple', 'unauthorized', 'requests', 'multiple', '401', 'responses', 'come', 'server', 'finally', 'token', 'refreshes', 'completes', 'remaining', 'requests', 'try', 'moment', 'taking', '3', 'failed', 'attempts', 'request', 'finally', 'succeed', 'current', 'implementation', 'option', 'adding', 'refreshinprogress', 'boolean', 'try', 'stop', 'additional', 'requests', 'going', 'immediately', 'instead', 'wait', '700', 'milliseconds', 'hasnt', 'great', 'solution', 'passable', 'think', 'create', 'unauthorizedrequestqueue', 'maybe', 'behaviorsubject', '401', 'gone', 'subsequent', 'httprequests', 'queue', 'returns', 'refresh', 'token', 'green', 'rxjs', 'library', 'able', 'figure', 'hoping', 'community', 'push', 'right', 'direction', 'implement', 'functionality', 'maybe', 'better', 'way']",yes,"['multiple unauthorized request', 'additional request', 'token refreshes completes', 'token refresh']"
530,20635995,"['design', 'resource', 'uri', 'composite', 'keys', 'resource', 'called', 'freight', '4', 'keysids', 'partner', 'id', 'initial', 'zipcode', 'final', 'zipcode', 'weight', 'actually', 'resource', 'designed', 'incremental', 'id', 'generated', 'database', 'approach', 'good', 'api', 'consumers', 'example', 'consumerpartner', 'needs', 'update', 'freight', 'info', 'freightinitialzipcodevalueampfinalzipcodevalueampweightvalue', 'response', 'operation', 'freight', 'id', 'finally', 'update', 'info', 'freightid', 'partner', 'id', 'implicit', 'authentication', 'mechanism', 'strange', 'force', 'partners', 'obtain', 'freight', 'id', 'update', 'info', 'design', 'uri', 'freightinitialzipcodevaluefinalzipcodevalueweightvalue', 'consider', 'design', 'good', 'practice', 'embedded', 'partnerid', 'authentication', 'mechanism', 'pros', 'easy', 'consumers', 'cons', 'cache', 'impossibility', 'share', 'uri', 'etc', 'dont', 'generally', 'good', 'bad', 'practice', 'thanks']",yes,"['key ids partner', 'consumer partner', 'resource uri', 'initial zipcode final zipcode']"
533,42950462,"['party', 'type', 'person', 'simply', 'exposes', 'subscriptions', 'collection', 'list', 'mailing', 'lists', 'person', 'subscribed', 'mutable', 'validation', 'everybody', 'clean', 'party', 'api', 'kind', 'subscription', 'business', 'logic', 'proper', 'place', 'subscriptions', 'validation', 'rules', 'added', 'removed', 'automatically', 'according', 'conditions', 'etc', 'options', 'option', '1', 'new', 'recipient', 'type', 'solution', 'business', 'logic', 'encapsulated', 'subscribe', 'unsubscribe', 'methods', 'option', '2', 'thing', 'transformed', 'personextensions', 'class', 'static', 'extension', 'methods', 'prevent', 'creating', 'numerous', 'recepient', 'instances', 'look', 'proper', 'place', 'putting', 'bl', 'drawbacks']",yes,"['third party type person', 'subscription business logic', 'unsubscribe method option', 'static extension method']"
534,29129247,"['grizzly', 'order', 'startup', 'server', 'deploy', 'application', 'needs', 'client', 'certificates', 'order', 'work', 'starting', 'grizzly', 'server', 'create', 'network', 'listeners', 'plain', 'listens', 'http', 'secure', 'supposed', 'handle', 'https', 'requests', 'plain', 'network', 'listener', 'behaves', 'expected', 'serves', 'requests', 'security', 'https', 'problem', 'hit', 'https', 'endpoint', 'prompts', 'client', 'certificate', 'happens', 'request', 'times', 'set', 'djavanetdebugall', 'ssl', 'handshake', 'happening', 'suspect', 'missing', 'set', 'grizzly', 'server', 'maybe', 'authenticator', 'code', 'use', 'start', 'server', 'spot', 'wrong', 'code', 'maybe', 'missing', 'handler', 'help', 'appreciated', 'thank']",yes,"['grizzly server', 'plain network listener behaves', 'client cert authentication', 'client certificate']"
535,38284925,"['restful', 'system', 'create', 'email', 'based', 'login', 'system', 'advise', 'separate', 'controllers', 'controllers', 'scenario', '1', 'user', 'enter', 'hisher', 'email', 'client', '2', 'restful', 'application', 'receive', 'email', '3', 'restful', 'application', 'email', 'database', 'exist', 'update', 'token', 'send', 'token', 'user', 'email', 'email', 'exist', 'database', 'application', 'insert', 'email', 'database', 'create', 'token', 'email', 'application', 'send', 'token', 'users', 'email', '4', 'user', 'receive', 'email', 'click', 'authorization', 'link', 'log', '5', 'restful', 'application', 'process', 'link', 'grunt', 'user']",yes,"['application insert email', 'restful application process', 'restful application', 'restful system']"
536,14043397,"['answer', 'awarded', 'answer', 'doesnt', 'actually', 'address', 'mentions', 'ssl', 'context', 'data', 'transfer', 'doesnt', 'actually', 'cover', 'authentication', 'asking', 'securely', 'authenticating', 'rest', 'api', 'clients', 'tls', 'client', 'authentication', 'ssl', 'viable', 'authentication', 'mechanism', 'rest', 'api', 'ssl', 'client', 'authc', 'authenticates', 'server', 'irrelevant', 'rest', 'apis', 'dont', 'use', 'tls', 'client', 'authentication', 'youll', 'use', 'digestbased', 'authentication', 'scheme', 'amazon', 'web', 'services', 'custom', 'scheme', 'oauth', 'http', 'basic', 'authentication', 'ssl', 'considering', 'use', 'https', 'client', 'certification', 'poster', 'says', 'dont', 'use', 'client', 'ssl', 'certification', 'server', 'talking', 'understand', 'use', 'authenticationtoken', 'access', 'authenticate', 'client', 'server', 'server', 'sending', 'token', 'token', 'paired', 'user', 'id', 'servers', 'database', '1is', 'real', 'problem', 'especialy', 'use', 'httpswithout', 'tls', 'client', 'authentication', '2', 'important', 'assuming', 'important', 'security', 'flaw', 'http', 'basic', 'authentication', 'help', 'poster', 'mentioned', 'http', 'basic', 'authentication', 'sends', 'encoded', 'username', 'password', 'header', 'client', 'receives', 'token', 'return', 'sends', 'username', 'password', 'rest', 'requests', 'use', 'token', 'header', 'instead', 'password', 'fine', 'sudden', 'server', 'request', 'coming', 'maybe', 'server', 'valid', 'token', 'matched', 'user', 'database', 'unknown', 'reallysend', 'hard', 'token', 'stolen', 'url', 'bring', 'subject', 'replieswellyou', 'send', 'token', 'server', 'send', 'token', 'secure', 'understand', 'browser', 'keeps', 'sort', 'authcertification', 'server', 'knows', 'request', 'coming', 'right', 'place', 'sure', 'paired', 'user', 'token', 'checked', 'dbis', 'correct', 'maybe', 'telling', 'correct']",yes,"['tls client authentication', 'authentication token', 'tls client certification', 'rest api client']"
542,12511128,"['rails', 'application', 'model', 'named', 'product', 'field', 'named', 'product', 'product', 'price', 'devise', 'gem', 'authentication', 'email', 'password', 'credentials', 'login', 'create', 'product', 'rest', 'url', 'structure', 'thanks', 'web', 'application', 'fully', 'functional', 'create', 'api', 'access', 'application', 'website', 'provide', 'url', 'person', 'click', 'product', 'created', 'site', 'provided', 'person', 'registered', 'main', 'send', 'authentication', 'post', 'product', 'product', 'price', 'requests', 'url', 'create', 'action']",yes,"['send authentication post product', 'product price devise gem', 'product price', 'rail application']"
544,9647951,"['quick', 'design', 'better', 'use', 'separate', 'web', 'app', 'rest', 'apis', 'jersey', 'rest', 'api', 'serves', 'machine', 'machine', 'communication', 'relatively', 'simple', 'gets', 'structure', 'jersey', 'rest', 'api', 'end', 'dao', 'db', 'store', 'spring', 'security', 'intercept', 'urls', 'etc', 'works', 'create', 'web', 'application', 'allow', 'existing', 'users', 'ability', 'login', 'monitor', 'use', 'api', 'register', 'user', 'account', 'reset', 'credentials', 'change', 'subscription', 'etc', 'plus', 'wondering', 'combine', 'share', 'war', 'file', 'use', 'end', 'databases', 'etc', 'stateful', 'stateless', 'rest', 'api', 'requiring', 'authentication', 'request', 'approach', 'adopted', 'treat', 'stateful', 'webapp', 'client', 'rest', 'api', '1', 'treat', 'rest', 'api', 'separate', 'web', 'app', '2', 'create', 'stateful', 'web', 'app', 'separate', 'web', 'app', 'use', 'spring', 'mvc', 'end', 'persistent', 'end', 'store', 'admin', 'component', 'managed', 'spring', 'role', 'based', 'security', 'second', 'webapp', 'allow', 'users', 'example', 'calls', 'rest', 'api', 'war', 'clicking', 'links', 'logged', 'credentials', 'approach', 'reasonable', 'war', 'rest', 'apis', 'separate', 'war', 'stateful', 'webapp', 'appreciate', 'comments', 'rest', 'experience']",yes,"['jersey rest', 'separate web', 'stateless rest', 'rest apis']"
